title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Absolute Tactics: Daughters of Mercy	Absolute Tactics: Daughters of Mercy	Absolute Tactics Daughters of Mercy	Absolute Tactics: Daughters of Mercy is a light-hearted, turn-based RPG adventure that puts a modern spin on classic tactics-style games. Featuring a diverse cast of characters, enormous boss monsters, and a dark world embroiled in war, Absolute Tactics plunges players right into the action as our hero Huxley and his dog Max build their team of allies to defend their home against a mysterious invading army.	Amazon			Curious Fate	"Adventure	Indie	Role-playing (RPG)	Strategy	Tactical	Turn-based strategy (TBS)"	Akupara Games	2022-09-15	2022-09-15	"Action	Fantasy	Warfare"			LowPriority		False		https://images.gog.com/378f01d4dab7eba84340d8f1caaec3544da8e00e13194e6d09c32068df9271e1_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/aeed0cb99b0afa2b462cf493f89c551679431ef9bdcabda42ebf33f3b118de67_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/0a72876cc2188b31c0bc7e39d17757e6a154ddbba9f4abd8a1f0dccf94618be4_glx_vertical_cover.webp?namespace=gamesdb
ABZU	ABZU	ABZU	"Abzu is an exploration game where you are a lone diver in a lush ocean world. The diver descends deeper and deeper into the depths, where she will encounter majestic creatures, discover ancient secrets, and search for her true purpose. Abzu roughly translates to ""The Ocean of Wisdom"" from ancient Sumerian."	Epic Games Store		81	Giant Squid	"Adventure	Indie	Puzzle	Simulator"	505 Games	2016-08-02	2016-08-02	"Action	Educational"	4		HighPriority		False	Windows	https://images.gog.com/5472edaf333ac08030cc159aee1a9e3f81074890913bf7204fa45b2d7752a3a4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/bc8a227d3e26c140f8c484bd48367a4cdddd8942fb4a8043d7cffdb3f7477012_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f84c80d3b1956dc40fe2398a86e8b901d4a1e4e2821e3c8efceba674eb7c8857_glx_vertical_cover.webp?namespace=gamesdb
Aces of the Luftwaffe - Squadron Extended Edition	Aces of the Luftwaffe - Squadron Extended Edition	Aces of the Luftwaffe Squadron Extended Edition	Aces of the Luftwaffe - Squadron is an action-packed, vertically scrolling shoot ‘em up.\nDodge bullets, collect massive power ups and wisely use special abilities as you defeat waves of enemies. Upgrade each member of your squadron with their personal skill tree as you level up.\nYou can take on the Aces with up to 3 friends in an epic 4 player local co-op battle.\nIncludes the Nebelgeschwader DLC, effectively doubling the size of the original game.	Amazon			HandyGames	Shooter	HandyGames	2019-02-26	2019-02-26				HighPriority		False			https://images.gog.com/8990ab9641522bd7990f83a2896e9a2a4a19134d1856b2249e921877eb8bd91e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/8990ab9641522bd7990f83a2896e9a2a4a19134d1856b2249e921877eb8bd91e_glx_vertical_cover.webp?namespace=gamesdb
Adios	Adios	Adios	A pig farmer decides he no longer wants to dispose of bodies for the mob. What follows is a discussion between him and his would-be killer.	"Amazon	Epic Games Store"			Mischief	"Adventure	Indie	Simulator"	Mischief	2021-03-17	2021-03-17	Drama			HighPriority		False	Windows	https://images.gog.com/e6030f1211af2baa459fe5a8c7ae04f1e1e16f9b1b9c8a692e0788901eba6af8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6dd436603c9f02c4ef0a56ad0107756da89c4941b252bf9ce359acad679426df_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e2d61f63e21a57daa74e6e4873f508d653c86a316024cce836c9952f034c9f1a_glx_vertical_cover.webp?namespace=gamesdb
AER Memories of Old	AER Memories of Old	AER Memories of Old	Transform into a bird and fly to explore and experience a vibrant world of floating islands in the sky. Venture down into lost ancient ruins where each step leads you closer to the end of the world.\n\nAER puts you in the shoes of Auk, a magical shape-shifting girl who can transform between human and bird.	Epic Games Store		68	"Daedalic Entertainment	Forgotten Key"	"Adventure	Indie	Puzzle"	Daedalic Entertainment	2017-10-25	2017-10-25	"Action	Fantasy	Open world"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/d301a4613ccfd29484848ce062b1ec65114e5f302f680ed16639560760cb43e5_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/edd05bcfdaa92aa02b32d0fd0724fa0d86da1c5014dc5df471a99426e0d22dad_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/3fe2a60891d8071c8e004e41cdaa05ccb8960fc46e35fadf8543ef375fd59e59_glx_vertical_cover.webp?namespace=gamesdb
Aerial_Knight's Never Yield	Aerial_Knight's Never Yield	AerialKnights Never Yield	Survive a futuristic Tokyo style Detroit in this 3D runner that tells the story of Wally who has uncovered the evidence that can change his city forever. Explore a game world with a dope-tastic soundtrack featuring the authentic sounds of Detroit Artist.	Epic Games Store		75	Aerial_Knight	"Adventure	Arcade	Indie	Music	Platform"	"Headup	Headup Games"	2021-05-19	2021-05-19	"Action	Science fiction"			HighPriority		False	Windows	https://images.gog.com/570e3b3b8514b27a2ebe5135be3de7a4db46abbda7673528a9f3403d70332cce_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/adca3d1fd74240d7694c0adf4464d8f7c278ad522382a8cf1ee71c884d1c0af5_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/0e34711e86db6da170929b5a31ffad6c5decccab10a6ea0734cbb4f77f0e7a3c_glx_vertical_cover.webp?namespace=gamesdb
Against All Odds	Against All Odds	Against All Odds	Water's cut. Rent's due. Jobs are scarce. Time to get rich. Enter the Slaughter League and win against all the odds in a dizzying array of lethal multiplayer races. In this competitive, multiplayer platformer party game, there can only be one winner, so kiss those friendships goodbye!	Epic Games Store			Microwave Games	"Indie	Platform	Sport"	Freedom Games	2023-05-19	2023-05-19	"Action	Party"			Ended		False	Windows	https://images.gog.com/1655e8a7b841d993d01b6dbe6fd6be9cc30bc04fe3ab669966805b50bff92eb3_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8238d74933447b47cf04f9cbe25808d10e1aeb0f3af9796b69fc32a952b46dae_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/36906ab57343d5d8d912bc280c49d4b87ce5fbff12275c9a5457ff47133200cf_glx_vertical_cover.webp?namespace=gamesdb
Agatha Knife	Agatha Knife	Agatha Knife	Embark on a whimsically twisted adventure with Agatha, a child torn between her love for eating meat and her friendships with animals. Join her as she discovers religion and creates her own, Carnivorism, to convince the animals that the sacrifice of their flesh is the secret to their eternal happiness.	Amazon		70	Mango Protocol	"Adventure	Indie	Point-and-click	Puzzle"	Mango Protocol	2017-04-27	2017-04-27	Comedy			LowPriority		False		https://images.gog.com/e662c7c23944e9f0683c8f1bb35c115a4a28d4e37af419d5a9508948f4b878a4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8d41c49870518c715b47f9150630675734d1b5fde40d441ff5fb85bc9b24eb18_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/05fc8deff7ab5e43e956e603312a83ad932539f6fe84daad3238ab38bea6e849_glx_vertical_cover.webp?namespace=gamesdb
Age of Empires II: HD Edition	Age of Empires II: HD Edition	Age of Empires 2 HD Edition	In Age of Empires II: HD Edition, fans of the original game and new players alike will fall in love with the classic Age of Empires II experience. Explore all the original single player campaigns from both Age of Kings and The Conquerors expansion, choose from 18 civilizations spanning over a thousand years of history, and head online to challenge other Steam players in your quest for world domination throughout the ages. Originally developed by Ensemble Studios and reimagined in high definition by Hidden Path Entertainment, Microsoft Studios is proud to bring Age of Empires II: HD Edition.	Steam	2	50	"Ensemble Studios	Hidden Path Entertainment"	"Real Time Strategy (RTS)	Strategy"	Microsoft Studios	2013-04-09	2013-04-09	"Historical	Warfare"	30	2016-07-03 16:19:50	Ended		False	Windows	https://images.gog.com/d4013aa9b229e1d8103c9bd972f2a7a65a9625221a5b4948c94950594393990c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/19088fd698f71b58f681b8079f06cb247ad5f6c6f4f9ec482d026099c3fc5de6_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/19088fd698f71b58f681b8079f06cb247ad5f6c6f4f9ec482d026099c3fc5de6_glx_vertical_cover.webp?namespace=gamesdb
Age of Empires III: Complete Collection	Age of Empires III: Complete Collection	Age of Empires 3 Complete Collection	Microsoft Studios brings you three epic Age of Empires III games in one monumental collection for the first time.\n\nImmerse yourself in the award-winning strategy experience. Microsoft Studios brings you three epic Age of Empires III games in one monumental collection for the first time. Command mighty European powers looking to explore new lands in the New World; or jump eastward to Asia and determine the outcome of its struggles for power.	Steam	4		Ensemble Studios	"Real Time Strategy (RTS)	Simulator	Strategy"	Microsoft Studios	2012-01-05	2012-01-05	"Non-fiction	Warfare"	32	2018-12-14 23:05:20	Ended		False	Windows	https://images.gog.com/15c2d3e8a9820bd8150f9c2806a7d3f4d4ea1d11de712102a8bddb9ac830b073_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/496f1ac895932dddc50a6952b1c620fc0d582e0381d63f9bcede05fbb2fade4d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/37dc94980f3833eeaaf8a8aa0905a7616d4146c02c69c8ff412d68dccaca5e43_glx_vertical_cover.webp?namespace=gamesdb
Age of Empires III: Definitive Edition	Age of Empires III: Definitive Edition	Age of Empires 3 Definitive Edition	Age of Empires III: Definitive Edition completes the celebration of one of the most beloved real-time strategy franchises with remastered graphics and music, all previously released expansions and brand-new content to enjoy for the very first time.	Steam		81	Tantalus Media	"Real Time Strategy (RTS)	Strategy"	Xbox Game Studios	2020-10-15	2020-10-15	"Historical	Warfare"			LowPriority		False	Windows	https://images.gog.com/16d61346ef6adb5614e703f50549877750dce23a1988da3ef344bc158d645a20_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f77f3febbcadd32684a6d160ffc2f774e8b3b11e5ff49e621e2ca9560749cc0e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f77f3febbcadd32684a6d160ffc2f774e8b3b11e5ff49e621e2ca9560749cc0e_glx_vertical_cover.webp?namespace=gamesdb
Age of Mythology: Extended Edition	Age of Mythology: Extended Edition	Age of Mythology Extended Edition	The classic real time strategy game that transports players to a time when heroes did battle with monsters of legend and the gods intervened in the affairs of mortals.\n\nUse mythological creatures like Minotaurs and Cyclopes to bolster your armies' strength. Call upon the gods for assistance in flattening enemy towns with meteors or scatter opposing troops with lightning storms.	Steam	4	68	"Ensemble Studios	Skybox Labs"	"Real Time Strategy (RTS)	Simulator	Strategy"	Microsoft Studios	2014-05-08	2014-05-08	Fantasy	22	2021-03-24 10:28:48	Ended		False	Windows	https://images.gog.com/bc139553df1d2f738de1e80329010cc48ca749cd09085510fa8bf3f294b8c040_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/63815825f9a0b72bfad575c83c06257aa35f386dc851d0a9d011c4a6efc29cfc_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/63815825f9a0b72bfad575c83c06257aa35f386dc851d0a9d011c4a6efc29cfc_glx_vertical_cover.webp?namespace=gamesdb
Age of Wonders III	Age of Wonders III	Age of Wonders 3	"Age of Wonders III, like the previous games in the series is a turn-based strategy game set within a high fantasy universe where the player assumes the role of a political-military leader. Gameplay is 4X-based (explore, expand, exploit and exterminate) where players explore the world map, slowly building an empire through colonization, warfare and diplomacy with rival powers. However new to III is the greater addition of role-playing game features, where players must first choose and customize their leader, all options dependant on the player's chosen style of play. There are six available races in the initial release: humans, draconians, high elves, dwarves, orcs, and goblins, all that will determine the race of their empire with each having unique perks and abilities. The leader and empire is further shaped by the choice from skill sets based on traditional RPG classes along with further specializations and skills to select. Each leader class also has access to their own unique units with a distinct visual look based on their corresponding race, each to accommodate their own unique approach to strategy, both in combat and when managing their empire. On release there are six different classes a leader can be. The ""Sorcerer"" class emphasizes the use of magic for enchantments and summoning powerful units. The ""Theocrat"" derives from an organized religion based society including zealots followers and the use of holy spells and warriors. The ""Rogue"" favors less direct approaches to situations, employing stealth, thievery and manipulation aswell as dark magic in diplomacy and warfare. The ""Archdruid"" channels the power of nature, using it to their advantage by being very self-sufficient and being able to call upon wild creatures. The ""Dreadnaught"" leads a steampunk styled society, using large industry, machinery and gunpowder-based units like cannons and tanks. Finally the ""Warlord"" specializes in direct conflict and combat tactics, utilizing effective non-magic based units and abilities.\nLeaders themselves and separate recruitable hero units will be able to gain experience and level up, while also being able to gain new equipment and powers. Players can also develop their alignment between good and evil based on their player's actions and the cultures the player absorbs into their empire, rather than race like the previous games in the series.\nCities themselves provide much of the resources, infrastructure and host to unit recruitment. Independent cities and units not immediately aligned to any player/leader are also present in the world map. Units that come from an unaffiliated city will fight to protect a city's domain, and they won't forget that they're tied to it. Many of these independent settlements aren't cities in the traditional sense, but can be alternative settlements, like a ""Giant's Keep"" for example. The player can conquer these holdings, which will provide units like a city, or they can absorb them through diplomatic means by paying tribute and diplomatic and/or alignment standing. Quests can also be given to players by independent forces and cities, including but not limited to clearing out wild units, searching for relics and even conquering cities and other holdings. Quests can grant the support of independent forces for player in addition to a reward such as gold or equipment, sometimes with the choice of either given to the player upon completion of the quest.\nAs in the case of the first game in the series, Age of Wonders III offers a story-driven campaign that is playable from two sides, the human-centric Commonwealth Empire and the Court of the High Elves. In addition to the campaign; single-player scenarios, online multiplayer, random map generation and a map editor are also available.[3] The graphics of Age of Wonders III will be presented in 3D instead of the isometric view the series has utilized up to this point."	Steam		80	Triumph Studios	"Role-playing (RPG)	Strategy	Tactical"	Triumph Studios	2014-03-31	2014-03-31	"4X (explore, expand, exploit, and exterminate)	Fantasy"			LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/6511d6472e7f59eb3767a38264992e6fab29fc4ca9e91417c0c7870db405b80f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/59c55327ab2dd71ec5a484c2f7591a25232493c7fd70a92e109fbee3012784df_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9878d5badf93eae32eaa9269083a254fe0ade3e9e56e94f48ffc68bbe3755d1f_glx_vertical_cover.webp?namespace=gamesdb
Aground	Aground	Aground	As one of the last human survivors, you find yourself stranded on an uninhabited island. With a few other victims of the crash, can you craft, mine, and build your way to survival?	Amazon		60	Fancy Fish Games	"Adventure	Indie	Role-playing (RPG)"	Whitethorn Games	2017-10-24	2017-10-24	Survival			HighPriority		False		https://images.gog.com/4f221f74d480b905194568e1fac3acfc12dc69960a05bd1161d314882b2a9370_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/66b426408e7fbab9c39d8befd578bbea4543058cca8db06327fd8a2e4cd912f2_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fd09b0490b754f16b116b591b15c43af73458ade40f5fe4420836f897a928556_glx_vertical_cover.webp?namespace=gamesdb
Akalabeth: World of Doom	Akalabeth: World of Doom	Akalabeth World of Doom	"In the game, the player character visits Lord British and is instructed by him to kill certain monsters. The final mission is to kill a balrog, and after this has been accomplished, Lord British proclaims that ""thou hast proven thyself worthy of knighthood""."	GOG			Richard Garriott	Role-playing (RPG)	"California Pacific Computer	Quantum Toast"	1980-01-01	1980-01-01	Fantasy					True	"Linux	macOS	Windows"	https://images.gog.com/91146cec4a57fd6bbd3411d4348fb56b704cd6354ceb951760d54907cfe5b820_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/2d27d25c79c329f186d1301d1eed4802614fe34607e4b90abb6929b3a174aecf_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/511cf474562bdaf2c8b9eec1a0c94e1eb5cf4e3900a618516adff2ebd89118e0_glx_vertical_cover.webp?namespace=gamesdb
Akka Arrh	Akka Arrh	Akka Arrh	Akka Arrh is a previously unreleased prototype game created 1982 for the arcade. It saw it's first release in 2022 as part of the the Atari 50: The Anniversary Celebration.	Amazon		80		"Arcade	Shooter"	Atari, Inc.	2022-11-11	2022-11-11	"Action	Science fiction"			LowPriority		False		https://images.gog.com/06278e6c398a761651f7702a3b42092b36f057cdb73685f6c31e9c10ae09519b_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/cde5a1ddd2bc7a63ed9582f4f44c073491203ce9467241aedf9bc65d72ca7f06_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/bd6dc6343961f973e5322aaef33270cecc411df235c8fad5763d38261a8143d1_glx_vertical_cover.webp?namespace=gamesdb
